filename,split
ID_0237f3c9_ID_40015688b9.nii.gz,train
ID_029ebbea_ID_563afa0901.nii.gz,val
ID_02b882cc_ID_a4892e60ae.nii.gz,train
ID_02f779fb_ID_c4d7f33559.nii.gz,train
ID_041e6601_ID_1fa1d20bba.nii.gz,train
ID_0492041f_ID_b4fcf2f799.nii.gz,train
ID_05331dc6_ID_47213b7e2e.nii.gz,test
ID_07365cde_ID_8e661b8f07.nii.gz,test
ID_089596a9_ID_ea71b57820.nii.gz,train
ID_09b33fc4_ID_bcd322d4ed.nii.gz,train
ID_0b10cbee_ID_f91d6a7cd2.nii.gz,val
ID_0c3eef60_ID_6994ad7df0.nii.gz,train
ID_0c6b97a9_ID_6011bb9ce8.nii.gz,train
ID_10beb45f_ID_7184e80f09.nii.gz,train
ID_10c64d22_ID_4c9aad31ca.nii.gz,train
ID_14058625_ID_527c581583.nii.gz,train
ID_1653b22b_ID_c35cd0de73.nii.gz,train
ID_16ed917a_ID_145f184354.nii.gz,test
ID_181aab15_ID_062634d043.nii.gz,train
ID_18747540_ID_1eb1de9633.nii.gz,train
ID_1879071b_ID_4b8e1377e7.nii.gz,train
ID_196704db_ID_4eb6296376.nii.gz,val
ID_199b0a56_ID_09e623e993.nii.gz,train
ID_19d26713_ID_9f54cdc920.nii.gz,train
ID_1cbe2853_ID_37afefdc7c.nii.gz,train
ID_2334b45f_ID_9f31e831ac.nii.gz,val
ID_253e809f_ID_095d8c391f.nii.gz,train
ID_268b38fe_ID_d747ae3ffb.nii.gz,train
ID_2872834a_ID_542e9d00da.nii.gz,test
ID_2931ca43_ID_2a2b28e0ab.nii.gz,train
ID_2949cdc6_ID_dcb864c93f.nii.gz,train
ID_2a42d0a0_ID_5fdc3fb915.nii.gz,train
ID_2db7ee14_ID_2591d00dfc.nii.gz,train
ID_2db7ee14_ID_f27e38fdfd.nii.gz,train
ID_2e21c3f3_ID_bc8f99a0cc.nii.gz,test
ID_30d19531_ID_cf607a5cd7.nii.gz,train
ID_3343ddf2_ID_fddff2e9c1.nii.gz,train
ID_338738e7_ID_0808281b2a.nii.gz,train
ID_346de481_ID_2e8fea0d9a.nii.gz,train
ID_39702b69_ID_167ab8c629.nii.gz,train
ID_39bdd84b_ID_a318f304e4.nii.gz,train
ID_39e94772_ID_f1a5ef6a24.nii.gz,train
ID_3bda60be_ID_067209cc9a.nii.gz,train
ID_3be7cc35_ID_cf2643c5a8.nii.gz,val
ID_3dab46e7_ID_e837f87e46.nii.gz,val
ID_3e481fc5_ID_750530c215.nii.gz,train
ID_41a55df8_ID_ca0abe844a.nii.gz,train
ID_4681a956_ID_5b133aa2c0.nii.gz,train
ID_46cd34ad_ID_3003623499.nii.gz,val
ID_47aa2b3a_ID_95a9953aba.nii.gz,test
ID_495ac92a_ID_4daa7b9cc7.nii.gz,val
ID_4a16396b_ID_1f3e0c2c5c.nii.gz,train
ID_4e227c9c_ID_d8607fa88e.nii.gz,train
ID_4e25e744_ID_b0275c19cd.nii.gz,val
ID_4ec93c83_ID_b76a4106f8.nii.gz,train
ID_50b54af0_ID_fbeeed4370.nii.gz,train
ID_5117f9bf_ID_14d96feecf.nii.gz,train
ID_552aabb9_ID_152fdcf86e.nii.gz,val
ID_55742eb7_ID_7d5ad548ca.nii.gz,val
ID_56983eda_ID_a1eb0918d6.nii.gz,train
ID_56faaf6f_ID_dd8f688dff.nii.gz,train
ID_58d2ebfa_ID_76487f508f.nii.gz,test
ID_5910d129_ID_094eb98167.nii.gz,train
ID_596dfbc1_ID_fe7dab2602.nii.gz,train
ID_5adb32dc_ID_35dd6d3d56.nii.gz,train
ID_5ca2154a_ID_d4984e0dcc.nii.gz,train
ID_5e405f44_ID_7a773f615f.nii.gz,train
ID_5f53ab26_ID_f1c7d54a53.nii.gz,train
ID_63862d24_ID_24f0f2ff02.nii.gz,train
ID_66a9a60e_ID_3a4f389a07.nii.gz,train
ID_6874ab42_ID_209e53bf66.nii.gz,train
ID_693f2d48_ID_06a88c0e8b.nii.gz,test
ID_69b19057_ID_44d0da38f2.nii.gz,test
ID_69e721e0_ID_a6f36605d7.nii.gz,test
ID_6a6976ae_ID_97ae10a424.nii.gz,val
ID_6bb6dd02_ID_dd6370b417.nii.gz,train
ID_6c70bf18_ID_3915fd7d41.nii.gz,train
ID_6c85adda_ID_86bc0ab248.nii.gz,train
ID_6caf8d60_ID_3634a47122.nii.gz,train
ID_6fcd55db_ID_9ed6724906.nii.gz,train
ID_727c946e_ID_e1fd84171a.nii.gz,train
ID_73cae446_ID_852cb06998.nii.gz,test
ID_751df220_ID_4c26128a8d.nii.gz,train
ID_75448f16_ID_780b14c9d7.nii.gz,val
ID_77cd921b_ID_e0d0a5f299.nii.gz,train
ID_7860208e_ID_f68c193b69.nii.gz,train
ID_790acb3f_ID_c294f81468.nii.gz,test
ID_7d5594ff_ID_cb535d3e8b.nii.gz,train
ID_7db5845a_ID_0c7cd6982b.nii.gz,train
ID_7e8279ce_ID_75522ba124.nii.gz,val
ID_7f065b1e_ID_4c02f6eaaf.nii.gz,train
ID_80b8d734_ID_f599f2d14b.nii.gz,train
ID_811a274b_ID_fa1c9402fb.nii.gz,test
ID_82cfc6a8_ID_da93401499.nii.gz,train
ID_83a07ec6_ID_ef148a90ed.nii.gz,test
ID_85f42dd5_ID_a0ef1a9eaf.nii.gz,train
ID_87385103_ID_684afaed55.nii.gz,train
ID_87e60d98_ID_0c2d2758ae.nii.gz,train
ID_88dbe13f_ID_01c5078fbf.nii.gz,train
ID_8d326f80_ID_87b6843dde.nii.gz,train
